ISIC4,ISIC4_Code,ISCO08,TotalEmp,Percent
Mining and Quarrying,B,Managers,2939,0.0006
Mining and Quarrying,B,Professionals,26396,0.005
Mining and Quarrying,B,Technicians and Associate Professionals,15343,0.0029
Mining and Quarrying,B,Clerical Support Workers,9526,0.0018
Mining and Quarrying,B,Service and Sales Workers,1622,0.0003
Mining and Quarrying,B,Skilled Agricultural,3317,0.0006
Mining and Quarrying,B,Craft and Related Trades Workers,8829,0.0017
Mining and Quarrying,B,Plant and Machine Operators,22762,0.0043
Manufacturing,C,Managers,34935,0.0066
Manufacturing,C,Professionals,116648,0.0221
Manufacturing,C,Technicians and Associate Professionals,119996,0.0228
Manufacturing,C,Clerical Support Workers,55279,0.0105
Manufacturing,C,Service and Sales Workers,55416,0.0105
Manufacturing,C,Skilled Agricultural,60491,0.0115
Manufacturing,C,Craft and Related Trades Workers,163798,0.0311
Manufacturing,C,Plant and Machine Operators,137585,0.0261
Electricity and Gas,D,Managers,624,0.0001
Electricity and Gas,D,Professionals,6560,0.0012
Electricity and Gas,D,Technicians and Associate Professionals,11464,0.0022
Electricity and Gas,D,Clerical Support Workers,751,0.0001
Electricity and Gas,D,Service and Sales Workers,917,0.0002
Electricity and Gas,D,Skilled Agricultural,164,0
Electricity and Gas,D,Craft and Related Trades Workers,234,0
Electricity and Gas,D,Plant and Machine Operators,463,0.0001
Water and Waste Management,E,Managers,704,0.0001
Water and Waste Management,E,Professionals,3883,0.0007
Water and Waste Management,E,Technicians and Associate Professionals,4398,0.0008
Water and Waste Management,E,Clerical Support Workers,2057,0.0004
Water and Waste Management,E,Service and Sales Workers,1126,0.0002
Water and Waste Management,E,Skilled Agricultural,2178,0.0004
Water and Waste Management,E,Craft and Related Trades Workers,7174,0.0014
Water and Waste Management,E,Plant and Machine Operators,9154,0.0017
Construction,F,Managers,57327,0.0109
Construction,F,Professionals,261229,0.0496
Construction,F,Technicians and Associate Professionals,217574,0.0413
Construction,F,Clerical Support Workers,107520,0.0204
Construction,F,Service and Sales Workers,90553,0.0172
Construction,F,Skilled Agricultural,192258,0.0365
Construction,F,Craft and Related Trades Workers,477808,0.0906
Construction,F,Plant and Machine Operators,312437,0.0593
Wholesale and Retail Trade,G,Managers,57554,0.0109
