CHAPTER,SECTOREN,SECTORAR,NOOFEMPLOYEE,ACTIVITYTYPE
A,"Agriculture, Forestry and Fishing",الباب ( أ ): الزراعة والحراجة وصيد الأسماك,3837,EconomicActivity
B,Mining and quarrying,الباب ( ب ): التعدين واستغلال المحاجر,4132,EconomicActivity
C,Manufacturing,الباب ( ج ): الصناعة التحويلية,98641,EconomicActivity
D,"Electricity, gas, steam and air conditioning supply",الباب ( د ) : إمدادات الكهرباء والغاز والبخار وتكييف الهواء,309,EconomicActivity
E,"Water supply; sewerage, waste management and remediation activities",الباب ( هـ ): إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,7006,EconomicActivity
F,Construction,الباب (و):التشييد,277632,EconomicActivity
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,الباب ( ز ):    تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,157698,EconomicActivity
H,Transportation and storage,الباب ( ح ) : النقل والتخزين,19453,EconomicActivity
I,Accommodation and food services activities,الباب ( ط ): أنشطة خدمات الاقامة والطعام,64438,EconomicActivity
J,Information and Communication,الباب ( ي ) : المعلومات والاتصالات,3963,EconomicActivity
K,Financial and insurance activities,الباب ( ك ) : الأنشطة المالية وأنشطة التأمين,14207,EconomicActivity
L,Real estate activities,الباب ( ل ): الأنشطة العقارية,15087,EconomicActivity
M,"Professional, scientific and technical activities",الباب ( م ): الأنشطة المهنية والعلمية والتقنية,7033,EconomicActivity
N,Administrative and support service activities,الباب ( ن ) : الخدمات الإدارية وخدمات الدعم,72135,EconomicActivity
O,Public administration and defense; compulsory social security,"الباب  ( س ) : الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",1392,EconomicActivity
P,Education,الباب ( ع ) : التعليم,9833,EconomicActivity
Q,Human health and social work activities,الباب ( ف ) : أنشطة صحة الانسان والعمل الاجتماعي,25459,EconomicActivity
R,"Arts, entertainment and recreation",الباب ( ص ) : الفنون والترفيه والتسلية,1587,EconomicActivity
S,Other service activities,الباب ( ق ) : أنشطة الخدمات الأخرى,14036,EconomicActivity
T,Activities of households as employers; undifferentiated goods- and servicesproducing activities of households for own use,الباب ( ر ) : أنشطة الاسر المعيشية التي تستخدم أفراداً وأنشطة الأسر المعيشية في إنتاج سلع وخدمات غير مميزة لإستعمالها الخاص,16,EconomicActivity
